Temperature_root,Time_root,Rectified_Impedance
24,733516.871873368,0.070069377982904+-0.000479984690781789i
24,733516.871873368,0.068178861149402+-0.00119004092529694i
24,733516.871873368,0.0679325773371459+-5.68268119365071e-05i
24,733516.871873368,0.0669183922638717+-0.000878726401549023i
24,733516.871873368,0.0680710529434866+-0.000197480202129755i
24,733516.871873368,0.066570970058791+-0.000584414924130719i
24,733516.871873368,0.0684181777228089+-0.000957364172060656i
24,733516.871873368,0.0677241479867998+-0.000476753623861636i
24,733516.871873368,0.0657933162664469+-0.000644553996562564i
24,733516.871873368,0.0668246674721739+-0.00080283943985951i
24,733516.871873368,0.0662655499601463+-0.00088302206125567i
24,733516.871873368,0.0674260976722199+-0.00122952630804688i
24,733516.871873368,0.0671768796431638+-0.00156826519577273i
24,733516.871873368,0.0655175976019393+-0.00114019257617702i
24,733516.871873368,0.0663754146133966+-0.000996322474829255i
24,733516.871873368,0.0636340362071594+-0.00163056131536775i
24,733516.871873368,0.0638808030502834+-0.000730605026217871i
24,733516.871873368,0.0627820011545611+-0.00126263304907726i
24,733516.871873368,0.0600645759977911+-0.00121164456750476i
24,733516.871873368,0.0621464664356588+-0.00163696358392412i
24,733516.871873368,0.0602708258607459+-0.00174385660150808i
24,733516.871873368,0.0618417618014822+-0.00110513699027807i
24,733516.871873368,0.0604936240331604+-0.00175811027717783i
24,733516.871873368,0.0594403499586812+-0.00185075111379521i
24,733516.871873368,0.0570384678134865+-0.00135322448296079i
24,733516.871873368,0.0557153347703701+-0.00146237368708279i
24,733516.871873368,0.055367672811324+-0.00156838833432765i
24,733516.871873368,0.0541464894887024+-0.00157285473099649i
24,733516.871873368,0.051257654483148+-0.0015578268021544i
24,733516.871873368,0.0518290564654323+-0.00136239373163764i
24,733516.871873368,0.0498147800417589+-0.00132768426076109i
24,733516.871873368,0.049330557379056+-0.00139077927104131i
24,733516.871873368,0.0483934218653734+-0.00132305696335356i
24,733516.871873368,0.0474041934442904+-0.00105351646706297i
24,733516.871873368,0.0462080809758567+-0.00083730256652734i
24,733516.871873368,0.0464623932729074+-0.000616376149968996i
24,733516.871873368,0.0426567850155281+-0.000421386515985352i
24,733516.871873368,0.0444949623509495+-8.696139688419e-07i
24,733516.871873368,0.0442572662227116+0.000532612918191634i
24,733516.943938796,0.0603566586708123+-0.000232316905666462i
24,733516.943938796,0.0781536908684409+-0.00162589667050625i
24,733516.943938796,0.0741170485979694+-0.00104199477575601i
24,733516.943938796,0.0736714984078387+-0.000816694877807387i
24,733516.943938796,0.0724432295729055+-0.00140216828667107i
24,733516.943938796,0.0725755935179047+-0.00111644142056025i
24,733516.943938796,0.0730618864624961+-0.000925010099552559i
24,733516.943938796,0.0716182478518381+-0.00127509139356916i
24,733516.943938796,0.072900630515852+-0.000657934244538828i
24,733516.943938796,0.0707738162144095+-0.00128005498233861i
24,733516.943938796,0.0708852565643616+-0.00144319722069093i
24,733516.943938796,0.072251302879082+-0.000944238120285554i
24,733516.943938796,0.0683766247797683+-0.00168174481003544i
24,733516.943938796,0.0682072487462005+-0.00161752979145076i
24,733516.943938796,0.0663040490711041+-0.00173971528908083i
24,733516.943938796,0.0659757642143208+-0.00204451422435268i
24,733516.943938796,0.0657676847494873+-0.00184093067213544i
24,733516.943938796,0.0638760864614187+-0.00176087436277463i
24,733516.943938796,0.0625814617763931+-0.0017250216465837i
24,733516.943938796,0.0626047156903022+-0.00202517642454696i
24,733516.943938796,0.0605529734310064+-0.00199941661929621i
24,733516.943938796,0.0585225040164163+-0.00165207437192695i
24,733516.943938796,0.0579569121780143+-0.00201190115522596i
24,733516.943938796,0.0573384656238579+-0.00141832914198289i
24,733516.943938796,0.0564129914955276+-0.00156491016747091i
24,733516.943938796,0.0549414229547986+-0.00175388231096481i
24,733516.943938796,0.0538800373621942+-0.00124710400545477i
24,733516.943938796,0.0515560459343832+-0.00166647016945507i
24,733516.943938796,0.0506156978685406+-0.00136646287255498i
24,733516.943938796,0.0498181205328964+-0.00134036918574319i
24,733516.943938796,0.0500538091253099+-0.00112884364720236i
24,733516.943938796,0.049574519010613+-0.000957400267111806i
24,733516.943938796,0.0485545847605924+-0.000966607832293499i
24,733516.943938796,0.0472816262297113+-0.000873583633631701i
24,733516.943938796,0.0462447448054345+-0.000370311618212128i
24,733516.943938796,0.0465692863830908+-0.000507035408330862i
24,733516.943938796,0.0446352330911397+4.31925097703604e-05i
24,733516.943938796,0.0460412266004647+0.000253442938568384i
24,733516.943938796,0.0463606788784969+0.000496714440756855i
24,733517.093368229,0.0662247855692241+-0.0007051393360865i
24,733517.093368229,0.0701481062433322+0.000101952605871967i
24,733517.093368229,0.0676208754751797+-0.000853819436040187i
24,733517.093368229,0.0676688293363441+-0.00126651013936055i
24,733517.093368229,0.0668544930318865+-0.000693560566913035i
24,733517.093368229,0.0651885801184297+-0.00054150179747146i
24,733517.093368229,0.0679599552882891+-0.000261727404976625i
24,733517.093368229,0.0647929725239084+-0.000424554317112463i
24,733517.093368229,0.0654714199188994+-0.00121456268690886i
24,733517.093368229,0.0659990391194584+3.52034649767252e-05i
24,733517.093368229,0.0660311175524234+-0.00101478390797961i
24,733517.093368229,0.0631645612485161+-0.000446175853090619i
24,733517.093368229,0.0648034512457867+-0.000559093719390967i
24,733517.093368229,0.0645982860701776+-0.000379262916070547i
24,733517.093368229,0.0631493269599639+-0.000942688766319907i
24,733517.093368229,0.065273982597341+-0.0013227783774654i
24,733517.093368229,0.0646821966008003+-0.00103231591424938i
24,733517.093368229,0.0634144335103511+-0.00105442289898273i
24,733517.093368229,0.0617797331768664+-0.00163053605294202i
24,733517.093368229,0.0613144250318428+-0.00130841509102816i
24,733517.093368229,0.0607326344110158+-0.00115373054815064i
24,733517.093368229,0.0599253042039484+-0.000884877560394793i
24,733517.093368229,0.0576770499594345+-0.00136031488499277i
24,733517.093368229,0.058024587319029+-0.0010720521577628i
24,733517.093368229,0.0575318049008221+-0.00138884763989562i
24,733517.093368229,0.0553054335831842+-0.00126485901255195i
24,733517.093368229,0.0545747882190087+-0.00137172388134693i
24,733517.093368229,0.0530093808487075+-0.00145305548000005i
24,733517.093368229,0.0516879267068567+-0.00150318584688755i
24,733517.093368229,0.0521327006571685+-0.00128385390932598i
24,733517.093368229,0.0504420627057437+-0.00140813003152656i
24,733517.093368229,0.0495936877343583+-0.00129002055563188i
24,733517.093368229,0.0478787322310494+-0.00113819078768853i
24,733517.093368229,0.0474741293449883+-0.000928393602582863i
24,733517.093368229,0.0458800023503192+-0.000857360092341889i
24,733517.093368229,0.0462695030038629+-0.000605224772998616i
24,733517.093368229,0.0430749360162237+-0.000348169300086123i
24,733517.093368229,0.0442417782392792+8.01000725887874e-05i
24,733517.093368229,0.0444576348162908+0.000286083494076843i
24,733517.164863275,0.0612671769619298+-2.89425566284684e-05i
24,733517.164863275,0.0781628639548862+-0.0018102496597036i
